First,Last,Email,Class,DOB
Bradley,Daniels,quis@egetmetus.org,Junior,11/3/1930
Ray,Vega,dictum.Proin.eget@lobortis.org,Sophomore,9/27/1966
Maryam,Doyle,imperdiet.erat@feugiat.edu,Junior,6/26/1959
Eaton,Shannon,sed@atarcuVestibulum.edu,Senior,7/29/1972
Odysseus,Bass,Etiam.bibendum.fermentum@gravidanunc.ca,Junior,12/8/1941
Rosalyn,Villarreal,mauris.id@tortor.edu,Freshman,2/21/2015
Orli,Humphrey,Donec@Duisami.net,Junior,2/24/1954
Kendall,Chaney,sem.molestie@non.net,Junior,3/5/2014
Xander,Keith,tempus.non.lacinia@in.co.uk,Junior,4/7/2014
Otto,Frederick,Nunc.quis.arcu@mauris.org,Freshman,8/6/1983
